City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Chapais,CA,49.7834,-74.8492,44.38,92,100,11.03,overcast clouds
327,Le Vauclin,MQ,14.5452,-60.8388,86.05,74,0,14.97,clear sky
328,Sambava,MG,-14.2667,50.1667,72.27,74,17,16.2,few clouds
329,Senanga,ZM,-16.1167,23.2667,95.97,11,80,12.41,broken clouds
330,Tual,ID,-5.6667,132.75,82.8,74,34,5.88,scattered clouds
331,Haines Junction,CA,60.7522,-137.5108,21.15,93,16,1.14,few clouds
332,Bogorodsk,RU,56.1033,43.5158,45.75,94,100,14.63,light rain
333,Vostok,RU,46.4856,135.8833,45.63,84,71,2.37,broken clouds
334,Pyapon,MM,16.2833,95.6833,76.71,92,100,6.26,overcast clouds
335,Bubaque,GW,11.2833,-15.8333,81.63,79,98,8.59,overcast clouds
336,Taua,BR,-5.9667,-40.3,92.43,24,80,8.95,broken clouds
337,Iralaya,HN,15.0,-83.2333,82.13,78,100,4.41,overcast clouds
338,Brae,GB,60.3964,-1.353,55.06,82,100,8.32,overcast clouds
339,Chulman,RU,56.8479,124.9104,21.31,86,55,2.8,broken clouds
340,Kizema,RU,61.113,44.8302,39.76,57,96,10.13,overcast clouds
341,Vila Franca Do Campo,PT,37.7167,-25.4333,75.2,73,92,11.43,overcast clouds
342,Hirara,JP,24.8,125.2833,81.91,75,4,10.0,clear sky
343,Puerto Ayora,EC,-0.7393,-90.3518,67.96,92,98,3.0,overcast clouds
344,Tolon,GR,37.5202,22.8586,84.81,34,0,15.14,clear sky
